Date,Open,High,Low,Close,Adj Close,Volume,Day
2021-08-09,68.455002,68.889999,67.839996,68.580002,68.225899,34210800,877
2021-08-10,68.885002,69.055,66.860001,67.555,67.206192,53081200,878
2021-08-11,68.25,68.525002,66.419998,67.190002,66.843079,46594000,879
2021-08-12,66.904999,68.099998,66.120003,67.889999,67.539459,39745400,880
2021-08-13,68.089996,68.805,67.815002,68.57,68.21595,36644800,881
2021-08-16,67.970001,68.714996,65.75,68.690002,68.335335,61229200,882
2021-08-17,67.105003,67.675003,65.485001,66.885002,66.539658,83197600,883
2021-08-18,66.550003,67.360001,64.754997,64.940002,64.604698,65042400,884
2021-08-19,63.869999,66.800003,63.724998,65.864998,65.524918,81623800,885
2021-08-20,66.474998,68.135002,66.290001,67.900002,67.549416,62541200,886
2021-08-23,68.514999,71.349998,68.5,70.925003,70.558792,48266200,887
2021-08-24,71.305,71.970001,71.035004,71.625,71.25518,36343400,888
2021-08-25,71.745003,72.199997,71.315002,71.705002,71.33477,38063600,889
2021-08-26,71.334999,71.754997,70.220001,70.489998,70.126038,53502400,890
2021-08-27,70.845001,72.800003,70.57,72.550003,72.175407,46160000,891
2021-08-30,73,75.260002,72.974998,74.955002,74.567986,45635200,892
2021-08-31,75.110001,75.150002,73.845001,74.745003,74.35907,45898000,893
2021-09-01,75.415001,76.410004,75.035004,75.154999,74.766953,47784000,894
2021-09-02,75.974998,76.169998,74.300003,75.050003,74.662498,47519200,895
2021-09-03,74.349998,75.970001,74.330002,75.724998,75.334007,46600600,896
2021-09-07,75.775002,76.440002,75.080002,76.035004,75.64241,45185400,897
2021-09-08,75.904999,75.925003,73.855003,75.254997,74.866432,63423000,898
2021-09-09,75.364998,76.050003,74.294998,74.449997,74.06559,55286800,899
2021-09-10,75.5,75.925003,72.555,72.775002,72.399239,69217800,900
2021-09-13,74.144997,74.389999,71.379997,72.610001,72.235092,77774600,901
2021-09-14,73.474998,73.93,71.410004,71.985001,71.613319,59629200,902
2021-09-15,72.245003,73.779999,70.879997,73.580002,73.200089,55892600,903
2021-09-16,72.775002,74.065002,71.620003,73.724998,73.34433,52615400,904
2021-09-17,73.449997,73.464996,70.480003,71.120003,70.752785,77325200,905
2021-09-20,67.709999,68.730003,64,66.745003,66.400375,121913600,906
2021-09-21,67.690002,68.375,66.294998,66.830002,66.48494,71700600,907
2021-09-22,67.43,69.614998,66.805,68.785004,68.429848,87669400,908
2021-09-23,69.455002,71.285004,69.084999,70.695,70.329979,69369600,909
2021-09-24,69.360001,71.125,69.150002,70.894997,70.528946,54775200,910
2021-09-27,69.105003,69.699997,67.699997,69.184998,68.827774,78355400,911
2021-09-28,66.57,66.945,63.035,63.415001,63.08757,148823000,912
2021-09-29,63.98,65.144997,62.650002,62.994999,62.669735,97530600,913
2021-09-30,63.889999,64.769997,62.040001,62.285,61.963402,117312000,914
2021-10-01,62.625,64.004997,60.419998,63.419998,63.092541,104354000,915
2021-10-04,62.549999,62.744999,58.235001,59.52,59.212681,128618000,916
2021-10-05,59.985001,63,59.860001,61.810001,61.490856,81306400,917
2021-10-06,60.130001,63.16,59.630001,63.029999,62.704556,117495400,918
2021-10-07,64.660004,66.169998,64.364998,64.735001,64.400757,75407600,919
2021-10-08,65.334999,65.459999,63.485001,63.740002,63.410892,78566000,920
2021-10-11,62.93,64.845001,62.27,62.325001,62.003197,68107600,921
2021-10-12,63.084999,63.310001,61.305,61.689999,61.371475,87201800,922
2021-10-13,62.889999,63.474998,61.799999,63.134998,62.809013,70460600,923
2021-10-14,65.055,66.724998,64.699997,66.620003,66.276024,60875000,924
2021-10-15,67.300003,67.925003,66.709999,67.855003,67.504646,51429000,925
2021-10-18,67.125,70.010002,66.790001,69.889999,69.529137,50438200,926
2021-10-19,70.519997,71.514999,70.139999,71.425003,71.056213,53225400,927
2021-10-20,71.745003,72.110001,70.339996,71.199997,70.832367,59354800,928
2021-10-21,70.720001,72.605003,70.565002,72.474998,72.100784,46050200,929
2021-10-22,71.735001,72.330002,69.68,70.639999,70.275261,70124200,930
2021-10-25,71.495003,73.364998,70.360001,72.760002,72.384323,59475800,931
2021-10-26,74.160004,75.599998,72.824997,73.440002,73.060806,83987800,932
2021-10-27,73.779999,75.860001,73.629997,74.019997,73.63781,72534000,933
2021-10-28,75.154999,76.625,74.699997,76.449997,76.05526,65368800,934
2021-10-29,74.595001,77.699997,74.389999,77.580002,77.179436,67257200,935
2021-11-01,77.900002,78.464996,76.589996,78.345001,77.940483,65022800,936
2021-11-02,78.014999,79.684998,77.980003,79.389999,78.980087,60085600,937
2021-11-03,79.669998,82.160004,79.035004,81.910004,81.487076,72605200,938
2021-11-04,82.714996,85.675003,82.364998,84.964996,84.526299,80439800,939
2021-11-05,86.230003,86.830002,84.364998,85.279999,84.839668,85252800,940
2021-11-08,85.25,85.949997,84.529999,84.93,84.491478,56459800,941
2021-11-09,85.625,85.894997,82.285004,83.18,82.750519,88118800,942
2021-11-10,81.360001,83.199997,78.25,79.535004,79.124336,96976800,943
2021-11-11,81.375,81.495003,79.949997,80.18,79.766006,57719000,944
2021-11-12,80.904999,83.035004,79.875,82.724998,82.297867,63820400,945
2021-11-15,83.455002,83.654999,81.044998,82.699997,82.272987,69729200,946
2021-11-16,82.144997,84.705002,82.029999,84.410004,83.974167,51590800,947
2021-11-17,84.605003,85.845001,83.894997,84.510002,84.073654,57968000,948
2021-11-18,85.839996,87.449997,84.385002,87.095001,86.645302,86841600,949
2021-11-19,88.214996,89.434998,87.660004,88.57,88.112686,64607200,950
2021-11-22,89.644997,91.68,85.43,85.5,85.05854,89522400,951
2021-11-23,84.724998,86.084999,81.394997,84.334999,83.899551,113012800,952
2021-11-24,82.654999,85.279999,81.165001,85.114998,84.675522,99120800,953
2021-11-26,83.389999,84.32,79.360001,80.419998,80.004768,88841200,954
2021-11-29,83.099998,86.080002,82.665001,85.415001,84.973976,79466000,955
2021-11-30,84.839996,86.394997,80.355003,81.745003,81.322929,151293000,956
2021-12-01,84.43,85.809998,77.235001,77.550003,77.14959,151275600,957
2021-12-02,76.709999,80.260002,75.824997,79.010002,78.602051,198216400,958
2021-12-03,80,80.639999,72.464996,75.040001,74.65255,240286800,959
2021-12-06,75.294998,77.639999,72.764999,76.794998,76.398483,152414000,960
2021-12-07,80.885002,84.139999,80.870003,83.720001,83.287727,135289200,961
2021-12-08,83.945,85,82.735001,84.885002,84.446716,102621800,962
2021-12-09,84.074997,85.254997,81,81.220001,80.800636,106401000,963
2021-12-10,82.885002,83.915001,80.889999,83.735001,83.30265,101537600,964
2021-12-13,83.735001,83.945,79.889999,80.135002,79.721237,89572600,965
2021-12-14,77.059998,78.779999,74.915001,77.75,77.348549,115466800,966
2021-12-15,77.480003,83.135002,75.014999,82.894997,82.466988,134530600,967
2021-12-16,83.504997,83.809998,75.474998,76.57,76.174644,148110000,968
2021-12-17,74.415001,77.894997,73.5,75.400002,75.010689,150010400,969
2021-12-20,72.510002,73.625,71.25,73.144997,72.767326,120933000,970
2021-12-21,75.080002,78.224998,72.855003,78.035004,77.632088,109562400,971
2021-12-22,77.790001,81,77.410004,80.82,80.402702,88611400,972
2021-12-23,81.084999,83.644997,80.985001,82.739998,82.312782,65654200,973
2021-12-27,83.544998,86.764999,83.5,86.695,86.247368,62981600,974
2021-12-28,87.379997,87.489998,85.014999,85.675003,85.232635,72412600,975
2021-12-29,85.654999,86.495003,83.974998,85.540001,85.098328,57747400,976
2021-12-30,85.385002,86.830002,84.385002,84.739998,84.30246,56635800,977
2021-12-31,84.315002,85.199997,82.855003,83.165001,82.735596,60248600,978
2022-01-03,83.915001,85.720001,82.559998,85.565002,85.123207,76505200,979
2022-01-04,85.915001,85.945,80.195,82.239998,81.815369,106648200,980
2022-01-05,81.190002,81.860001,74.5,74.675003,74.289436,133245200,981
2022-01-06,73.514999,76.404999,72.209999,74.470001,74.085487,154226600,982
2022-01-07,74.449997,75.470001,71,72.035004,71.663063,142713400,983
2022-01-10,69.175003,72.470001,66.050003,72.300003,71.926697,179217400,984
2022-01-11,71.714996,75.514999,70.519997,75.480003,75.090279,154326800,985
2022-01-12,76.985001,77.964996,74.940002,76.339996,75.945831,138371200,986
2022-01-13,77.129997,77.550003,70.019997,70.800003,70.434441,86765900,987
2022-01-14,69.089996,72.07,69,71.870003,71.498917,89225800,988
2022-01-18,68.489998,69.720001,66.059998,66.690002,66.345657,77660000,989
2022-01-19,67.360001,68.709999,64.160004,64.370003,64.037643,91642200,990
2022-01-20,66.019997,68.18,61.5,61.880001,61.560493,86098500,991
2022-01-21,60.619999,62.029999,56.5,56.669998,56.377392,171027300,992
2022-01-24,53.849998,57.75,48.169998,57.490002,57.193161,255084600,993
2022-01-25,54.150002,56.310001,51.75,53.25,52.975052,173749000,994
2022-01-26,56.990002,58.849998,51.369999,53.150002,52.875572,207838100,995
2022-01-27,55.400002,56.240002,51.040001,51.560001,51.293781,161764100,996
2022-01-28,52.400002,56.459999,50.099998,56.369999,56.078941,167016200,997
2022-01-31,57.049999,62.060001,56.220001,61.830002,61.510754,113751100,998
2022-02-01,62.419998,63.349998,59.73,63.009998,62.684658,101845800,999
2022-02-02,65.220001,65.370003,62.349998,64.5,64.166969,100815200,1000
2022-02-03,59.32,61.07,56.119999,56.740002,56.447037,105575000,1001
2022-02-04,56.869999,60.41,55.889999,58.700001,58.396915,96534400,1002
2022-02-07,59.07,60.27,56.720001,57.369999,57.07378,76956100,1003
2022-02-08,56.799999,59.830002,56.23,59.32,59.013714,79296600,1004
2022-02-09,61.560001,63.080002,60.759998,63,62.674713,75537700,1005
2022-02-10,59.310001,62.91,57.799999,58.82,58.516293,127143300,1006
2022-02-11,58.779999,59.549999,52.560001,53.279999,53.004898,134255600,1007
2022-02-14,52.900002,54.970001,51.700001,53.43,53.154125,95062500,1008
2022-02-15,55.830002,57.439999,55.349998,57.299999,57.004143,81722300,1009
2022-02-16,56.27,57.799999,54.700001,57.290001,56.994194,93090500,1010
2022-02-17,55.639999,56.049999,51.970001,52.209999,51.940422,78835600,1011
2022-02-18,52.59,52.790001,49.310001,50.439999,50.179562,113082700,1012
2022-02-22,49.040001,51.5,47.209999,48.880001,48.627617,131438100,1013
2022-02-23,50.240002,50.630001,44.970001,45.139999,44.906929,130460200,1014
2022-02-24,40.759998,49.849998,40.610001,49.560001,49.304108,194867400,1015
2022-02-25,50,52.009998,48.25,51.91,51.641972,119186100,1016
2022-02-28,50.459999,53.189999,49.919998,52.459999,52.189133,121700500,1017
2022-03-01,51.919998,52.970001,48.849998,50.040001,49.781628,124072500,1018
2022-03-02,50.669998,53.049999,49.419998,52.43,52.159286,109747900,1019
2022-03-03,53.75,53.779999,49.369999,50.240002,49.980598,111944300,1020
2022-03-04,49.169998,49.799999,47,48.09,47.841698,115695500,1021
2022-03-07,48.049999,48.540001,42.630001,42.720001,42.499424,124876300,1022
2022-03-08,42.389999,46,40.77,42.130001,41.912472,177968000,1023
2022-03-09,45.400002,47.200001,44.349998,46.639999,46.399181,109537100,1024
2022-03-10,44.900002,45.619999,43.189999,45.139999,44.906929,112787400,1025
2022-03-11,46.34,46.470001,42.09,42.34,42.121384,98907400,1026
2022-03-14,41.810001,43.130001,39.560001,39.860001,39.65419,123132600,1027
2022-03-15,40.869999,43.889999,40.240002,43.549999,43.325138,105703600,1028
2022-03-16,45.16,48.48,43.689999,48.439999,48.189888,163087500,1029
2022-03-17,47.59,50.189999,47.040001,50.060001,49.801525,96030800,1030
2022-03-18,49.459999,53.41,48.93,53.169998,52.895466,100784800,1031
2022-03-21,52.860001,53.93,50.77,52.790001,52.517429,110547300,1032
2022-03-22,53.07,56.34,52.869999,55.91,55.621319,93344600,1033
2022-03-23,54.560001,56.27,53.5,53.549999,53.273502,102749700,1034
2022-03-24,54.43,57.09,53.41,57.02,56.72559,85575300,1035
2022-03-25,57.040001,57.560001,54.849998,56.93,56.636051,99394700,1036
2022-03-28,56.919998,59.610001,56.330002,59.52,59.212681,91703700,1037
2022-03-29,61.52,62.959999,60.139999,62.57,62.246933,102006700,1038
2022-03-30,61.68,62.540001,59.799999,60.689999,60.376637,83909400,1039
2022-03-31,60.639999,60.830002,57.900002,58.18,57.879601,84049400,1040
2022-04-01,58.43,58.82,56.400002,57.93,57.63089,88081300,1041
2022-04-04,58.380001,61.549999,58.23,61.549999,61.232197,68757500,1042
